,initial position of a,initial position of b,initial position of c,initial velocity of a,initial velocity of b,initial velocity of c,mass of a,mass of b,mass of c,final position of a,final position of b,final position of c,final velocity of a,final velocity of b,final velocity of c
64,2.640278078383278,1.7193430822727906,3.8788608694822195,-0.3463801635469044,-0.5367989527493171,0.9187080824174216,23944930025.246616,30817632076.121315,44064095133.03147,6.410855574679787,3.1923672580524194,4.350216469708779,0.024129497710992057,0.24647536971785952,0.16956101160376644
65,4.099872695728393,4.639459508717952,3.66888044987904,0.5412612827197831,0.22793748199894925,0.8187269354389388,19589480093.835423,16693120236.472084,49329436968.91204,9.927416172954764,10.023385047670388,10.640792041747565,1.4378312135502942,1.9191438682352797,-0.1096203796080764
66,2.9575230712760736,1.4380901946926228,3.945305461650053,-0.6235609529489965,-0.9088657712993369,0.21335165444316995,37026104088.30854,22557839038.119564,12504665966.306585,-3.9708964262781126,-2.2998209207807356,-1.5222787946734466,-0.44940565435931884,-0.7380239741195452,-0.6105099347137659
67,1.5451402270152026,2.39818304556504,1.161401860370186,-0.02843956125425451,-0.11064120105190556,-0.5673679198750607,40047399038.17898,32326473280.919224,11463531156.80783,0.7302106710838484,0.035480883742052154,0.8837855062401034,1.220748636033767,-1.8109503491853463,-0.13658791253592162
68,0.6493637913285444,3.7444237149422843,4.385212416499495,0.9720522726019378,0.16507122902249005,-0.9748435461784173,46791945346.53807,26078588230.6427,29931308469.09394,8.198520582001796,1.8207411441805301,1.145600587621696,0.11360555409694331,-0.2404103544500067,0.7204642028324412
69,3.5008671423172237,3.511509656864816,3.6543986651706675,-0.24435549970328818,-0.8218957243685239,0.15809372722532622,38266472977.687256,24681051155.558807,20298270510.500114,0.3917511310601735,0.41993692184249726,0.25557341359551156,-0.3783843124618857,-0.77476085040921,0.35345380503126544
70,1.2839054142720423,4.079653188492999,3.6936794477679307,0.9059272170461368,0.7630466883930216,0.7015255152430917,17249346461.08236,13992806640.47989,12419896587.010841,10.618134403841806,10.110329329760148,12.129456660836,1.434090498388497,0.2095644522424569,0.591564735059983
71,4.225708869225481,3.0450113135460866,2.0971529027183737,-0.4804361126580694,0.8595138711952321,-0.09026177226354526,41131518710.71954,39813909874.90226,25495516842.66279,8.235040840681588,7.919553553234266,-7.2143584802371326,-1.2642180527658364,2.3876300595845508,-1.2121115015612192
72,1.0341710977038905,3.327899174298053,2.6310611265837385,-0.13514390239746388,-0.35733370160502353,-0.4402399151797973,27309943045.5748,44402558100.09917,38229177066.4033,10.547566434084171,-4.562990255847419,-4.518131017420294,0.5712857158131002,-2.9196890862194045,2.0312383757415926
73,0.17093104499744327,0.29105502509571,2.2500690460224586,0.07764195285806919,-0.13632313520409944,-0.8254558671887193,31867647126.302162,37949863874.74094,49407043636.99651,-2.7778893971215726,-2.6631861618641026,-2.3796372501299623,1.0432132427081746,3.061867345313514,-3.904801792825965
